complex_id,prepare,dock,rmsd,features,total_s
7L00_XCJ,0.487,4.719,0.005,4.73,9.941
7L03_F9F,0.19,4.31,0.008,2.935,7.443
7L5F_XNG,0.064,4.573,0.002,1.874,6.513
7L7C_XQ1,0.083,2.323,0.004,2.411,4.821
7LCU_XTA,0.145,10.607,0.011,4.108,14.870999999999999
7LEV_0JO,0.152,4.193,0.005,3.562,7.911999999999999
7LJN_GTP,0.377,13.494,0.009,3.894,17.774
7LMO_NYO,0.116,8.424,0.007,3.602,12.149
7LOE_Y84,0.038,0.565,0.003,1.525,2.131
7LOU_IFM,0.446,1.233,0.001,2.495,4.175
7LT0_ONJ,0.072,3.194,0.005,2.714,5.984999999999999
7LZD_YHY,0.095,3.773,0.003,2.038,5.909000000000001
7M31_TDR,4.86,0.924,0.003,3.317,9.104000000000001
7M3H_YPV,0.508,4.269,0.006,4.694,9.477
7M6K_YRJ,0.309,13.668,0.007,3.903,17.886999999999997
7MFP_Z7P,0.501,45.921,0.011,6.986,53.419
7MGT_ZD4,0.114,8.584,0.006,3.171,11.875
7MGY_ZD1,0.54,6.775,0.003,3.749,11.067
7MMH_ZJY,0.075,102.517,0.017,3.364,105.973
7MOI_HPS,0.067,1.267,0.004,1.639,2.977
7MSR_DCA,0.403,64.819,0.015,5.239,70.47600000000001
7MWN_WI5,0.116,4.599,0.006,2.144,6.865
7MWU_ZPM,0.132,0.721,0.001,2.881,3.735
7MY1_IPE,0.061,2.464,0.002,2.215,4.741999999999999
7MYU_ZR7,0.225,6.456,0.006,4.379,11.065999999999999
7N03_ZRP,0.036,6.926,0.006,2.471,9.439
7N4N_0BK,0.21,5.593,0.006,4.185,9.994
7N4W_P4V,0.048,3.341,0.002,1.705,5.096
7N6F_0I1,0.111,3.27,0.002,3.241,6.6240000000000006
7N7B_T3F,0.165,13.45,0.007,2.503,16.125
7N7H_CTP,0.081,11.304,0.002,2.747,14.134
7NF0_BYN,0.421,12.84,0.001,5.527,18.788999999999998
7NF3_4LU,0.151,10.379,0.002,4.446,14.978
7NFB_GEN,0.28,3.295,0.001,2.531,6.107
7NGW_UAW,0.047,1.804,0.003,1.703,3.557
7NLV_UJE,0.093,4.835,0.002,2.654,7.584
7NP6_UK8,0.059,6.67,0.002,1.75,8.481
7NPL_UKZ,0.094,6.044,0.001,2.21,8.349
7NR8_UOE,0.107,16.408,0.009,4.802,21.326
7NSW_HC4,0.17,1.853,0.002,2.688,4.713
7NU0_DCL,0.289,1.142,0.001,2.958,4.39
7NUT_GLP,0.45,3.093,0.002,2.765,6.3100000000000005
7NXO_UU8,0.176,6.496,0.004,4.089,10.765
7O0N_CDP,0.092,7.292,0.006,3.544,10.934
7O1T_5X8,0.105,6.238,0.003,3.304,9.65
7ODY_DGI,0.152,7.349,0.004,2.354,9.859
7OEO_V9Z,0.027,6.889,0.007,1.855,8.778
7OFF_VCB,0.114,3.995,0.005,2.195,6.308999999999999
7OFK_VCH,0.069,7.0,0.023,2.815,9.907
7OLI_8HG,0.122,2.764,0.004,2.922,5.811999999999999
7OMX_CNA,0.052,34.704,0.008,3.879,38.643
7OP9_06K,1.41,1.007,0.003,2.664,5.084
7OPG_06N,0.362,2.488,0.004,2.798,5.652
7OSO_0V1,0.107,1.322,0.001,2.473,3.9029999999999996
7OZ9_NGK,0.322,4.043,0.002,3.017,7.384
7OZC_G6S,0.131,4.111,0.001,2.946,7.189
7P1F_KFN,0.224,3.968,0.002,3.043,7.237
7P1M_4IU,0.062,4.531,0.005,1.993,6.591
7P2I_MFU,0.077,1.156,0.002,1.575,2.8099999999999996
7P4C_5OV,0.606,2.006,0.002,2.793,5.407
7P5T_5YG,0.129,4.369,0.004,2.614,7.115999999999999
7PGX_FMN,0.043,12.336,0.006,2.367,14.751999999999999
7PIH_7QW,0.16,3.481,0.005,3.368,7.013999999999999
7PJQ_OWH,0.081,0.884,0.003,1.229,2.197
7PK0_BYC,0.074,101.131,0.023,4.369,105.597
7PL1_SFG,0.052,9.065,0.005,2.697,11.818999999999999
7POM_7VZ,0.273,3.079,0.005,3.25,6.607
7PRI_7TI,0.171,3.106,0.005,2.775,6.0569999999999995
7PRM_81I,0.075,5.009,0.001,2.416,7.501000000000001
7PT3_3KK,0.941,103.3,0.024,9.057,113.322
7PUV_84Z,0.341,3.481,0.005,3.227,7.054
7Q25_8J9,1.585,15.44,0.008,6.675,23.708
7Q27_8KC,0.566,0.006,0.0,0.0,0.572
7Q2B_M6H,0.077,0.982,0.004,2.436,3.4989999999999997
7Q5I_I0F,0.541,5.26,0.002,4.742,10.545
7QE4_NGA,0.38,1.964,0.002,1.441,3.787
7QF4_RBF,0.036,6.306,0.002,1.42,7.763999999999999
7QFM_AY3,0.072,1.751,0.004,2.472,4.2989999999999995
7QGP_DJ8,0.081,16.583,0.004,2.864,19.532
7QHG_T3B,0.138,24.554,0.006,3.84,28.538
7QHL_D5P,0.405,6.472,0.006,3.508,10.391000000000002
7QPP_VDX,0.099,6.549,0.001,2.339,8.988000000000001
7QTA_URI,0.148,2.147,0.004,2.703,5.002
7R3D_APR,0.393,19.885,0.007,2.908,23.193000000000005
7R59_I5F,0.099,0.959,0.003,2.566,3.627
7R6J_2I7,0.688,9.793,0.006,5.099,15.586
7R7R_AWJ,0.083,8.643,0.006,2.991,11.723
7R9N_F97,0.163,4.626,0.006,3.012,7.807
7RC3_SAH,0.204,9.043,0.003,3.599,12.849
7RH3_59O,0.037,11.37,0.006,1.902,13.315
7RKW_5TV,0.182,3.431,0.005,2.884,6.502
7RNI_60I,0.48,5.037,0.007,5.75,11.274
7ROR_69X,0.28,22.083,0.006,5.18,27.549
7ROU_66I,0.091,19.463,0.007,4.368,23.929000000000002
7RSV_7IQ,0.366,1.503,0.004,3.372,5.244999999999999
7RWS_4UR,0.079,61.526,0.008,3.195,64.808
7RZL_NPO,0.116,0.859,0.003,2.066,3.0439999999999996
7SCW_GSP,0.088,15.282,0.006,2.618,17.994
7SDD_4IP,0.142,12.649,0.047,3.365,16.203
7SFO_98L,0.095,3.966,0.002,2.381,6.443999999999999
7SIU_9ID,0.151,5.461,0.006,3.584,9.202
7SUC_COM,3.538,1.104,0.001,4.039,8.681999999999999
7SZA_DUI,0.202,1.848,0.004,2.4,4.454000000000001
7T0D_FPP,0.3,7.496,0.003,6.468,14.267
7T1D_E7K,0.181,5.499,0.001,2.936,8.617
7T3E_SLB,0.305,4.848,0.002,3.486,8.641
7TB0_UD1,0.668,21.598,0.007,5.907,28.18
7TBU_S3P,0.289,2.634,0.002,2.744,5.6690000000000005
7TE8_P0T,0.101,3.854,0.002,2.642,6.599
7TH4_FFO,0.32,13.706,0.007,3.834,17.867
7THI_PGA,0.223,1.278,0.001,2.041,3.543
7TM6_GPJ,0.254,1.93,0.001,2.889,5.074
7TOM_5AD,0.192,3.25,0.001,3.694,7.1370000000000005
7TS6_KMI,0.824,2.088,0.004,3.363,6.279
7TSF_H4B,0.286,2.187,0.004,3.374,5.851
7TUO_KL9,0.064,5.813,0.006,3.578,9.461
7TXK_LW8,0.269,1.996,0.005,2.871,5.141
7TYP_KUR,0.092,8.539,0.002,2.704,11.337000000000002
7U0U_FK5,0.074,123.472,0.008,6.117,129.671
7U3J_L6U,0.057,16.335,0.007,2.511,18.91
7UAS_MBU,0.143,9.274,0.003,2.483,11.903
7UAW_MF6,0.057,46.506,0.003,2.036,48.602000000000004
7UJ4_OQ4,0.235,18.478,0.012,6.655,25.380000000000003
7UJ5_DGL,0.681,1.732,0.001,2.755,5.1690000000000005
7UJF_R3V,0.227,8.71,0.001,2.35,11.288
7ULC_56B,0.166,14.009,0.002,3.12,17.297
7UMW_NAD,0.128,32.219,0.007,4.926,37.28
7UQ3_O2U,0.08,1.228,0.001,1.785,3.094
7USH_82V,0.033,2.308,0.005,1.41,3.7559999999999993
7UTW_NAI,0.204,32.549,0.008,5.248,38.009
7UXS_OJC,0.166,31.441,0.007,3.165,34.779
7UY4_SMI,0.179,3.478,0.003,3.161,6.821
7UYB_OK0,0.052,6.141,0.018,2.386,8.597
7V14_ORU,0.061,7.022,0.006,2.837,9.926
7V3N_AKG,0.078,1.653,0.001,2.15,3.8819999999999997
